conversation_id,id,public_metrics,text
1479192441467158529,1479192441467158529,3284,['negative']
1478668846181539843,1478668846181539843,2387,['negative']
1480641383958564864,1480641383958564864,2372,['negative']
1478823836317634560,1478823836317634560,2331,['negative']
1479896856968802307,1479896856968802307,2316,['negative']
1478774078135844866,1478774078135844866,1535,['positive']
1480553888210210818,1480553888210210818,1338,['positive']
1478676688561131521,1478676688561131521,858,['positive']
1480578846898499586,1480578846898499586,741,['positive']
1479036290226081793,1479036290226081793,504,['positive']
